posting_hash , ngram_size, doc_count
daed2a7fc91c63bf, 3, 1
262752f4af521595, 3, 1
66c3920097a73dd1, 3, 1
b24d677ff04ba9a8, 3, 1
f7f7d1764cdc9d73, 1, 1
36eff5ecbed92162, 2, 1
210f4e8c44ab4fa1, 2, 1
9c11050078fec695, 3, 1
d856181712e324e6, 2, 1
310845f88b05d434, 3, 1
ddab13429fa4dbd4, 3, 1
3c27da608d7709c3, 3, 1
85c52b78cd1eadde, 2, 1
7cb5c3c26f93bad7, 3, 1
8a2682c0e9cd4052, 3, 1
4ab48a2c76f1d922, 1, 1
31d371dabea8d695, 1, 1
9297f9e0919053c5, 2, 1
4bdbeb8a8b48c5a8, 3, 1
6bbc5997ceb82898, 2, 1
4a9a51a4453da3d, 2, 1
58a2e3253e1c8ddb, 2, 1
ef1ecb04802aa052, 3, 1
f86d10178a169c39, 3, 1
f93ca2e82f3d528a, 1, 2
d33b9fb09d70605b, 3, 2
c0a3453a57c42b9f, 1, 1
f587f1b209d9bda7, 3, 2
b732c1a6b4ae217b, 1, 2
12a645685f4ff68a, 3, 1
486a443d2f97b92c, 3, 1
1ee9ba6e16c85e3b, 3, 2
e78bdc32efa78df9, 3, 1
b84db3b4c8956b3, 2, 2
d3f473a2ba4da708, 2, 1
5df659c4b95cff44, 3, 1
53ba14593cec42c4, 1, 1
34fb4976ec0ef75c, 3, 1
2a458fc6a7122098, 1, 2
fafd30c769613370, 3, 1
3577a4a880fdf8fd, 2, 1
ac18ea8131c2bdfe, 3, 2
2e0b8ec6f2edac7e, 2, 1
bf79f73b52c44b22, 2, 1
f3fe8f0e76e63615, 2, 1
976dab58bc04ad14, 2, 1
99e99717cca77b52, 3, 1
40ee71c42c3e781a, 2, 2
8d3c26c84dbf8b0c, 3, 2
1f3efac15f066f42, 2, 1
a51077ac3bc5a465, 2, 2
54c95536614316f0, 1, 2
4c1bae18da0a3483, 3, 1
92fe1413635c5be2, 2, 1
48ea61218d37f7d5, 2, 2
43843366bd3f656a, 2, 1
d4b2729446928810, 3, 1
cf6e245ae7cf50cf, 1, 2
cd665cecf372e35b, 2, 1
54baca42bfb41b52, 1, 1
8bfdf9e53653cdc0, 2, 1
337c0abc509a121d, 3, 1
116068cf06764d28, 2, 1
9844f45b763454e5, 1, 1
2487f9763c3d899c, 1, 1
586f9a237e0d5e10, 1, 1
27cca3984cbf9b2, 2, 1
aa9a478376395bcc, 1, 1
558f708d3b43e93d, 3, 1
70834d5c0439751, 1, 1
e0e727a2d12e097b, 2, 1
9a5156631998d568, 2, 1
690587fb3559d86a, 2, 1
a9b3a72e21cce54, 1, 1
5b0922496b0e6eaa, 3, 1
86ee3af10ba66e82, 3, 1
ce7a71134dc63a0c, 3, 1
150b996b50b28bfb, 3, 1
2a5ac8aaa6e7c47e, 1, 1
37d082e9df5aef07, 1, 1
68daf7ccad0601a2, 2, 1
ed862647d09ce4a3, 3, 1
593b13b0a5e46261, 1, 1
495204c2dfe4d149, 1, 1
434e1ee819d8066f, 2, 1
b194366cbaac85e4, 1, 1
4f09ff6b99ee96c8, 3, 1
f3cc5cc33fd895ef, 1, 1
f00c9e5091a6300d, 2, 1
4f9cb229e4dde904, 3, 1
411750faada2e5fc, 3, 1
77c8c1937f6303cf, 2, 1
e48554913a757f60, 3, 1
35219bdfed11a8b9, 3, 1
f7bab391213e9465, 2, 1
e0bdcde043f7e255, 1, 1
48c038d5ce27539, 1, 1
cbac3529f45914e0, 2, 1
53c25db574fc47f0, 2, 1
88e0b54833dc8e1, 3, 1
ee480e039edb5598, 2, 1
1440f9189e065c28, 3, 1
2e4e55e4c8b74e71, 1, 1
a4d62bfd1cc4a8c7, 2, 1
ccbc8b2d2f61cce7, 3, 1
30a77b16adbd2845, 2, 1
96dcdfe9b422427b, 3, 1
6d7501c63013437e, 2, 1
e26be109045558df, 3, 1
565e4c4d69230ffa, 2, 1
b8551768501b3c3e, 2, 1
568fbd9855139938, 1, 1
6915648e08664928, 2, 1
9ecce280bf4e4f68, 2, 1
bdb9f8357f76ea04, 2, 1
218d963867d618f7, 2, 1
5a2141b300c7c1db, 1, 1
80388c67668cc177, 2, 1
347a0f01670342c1, 1, 1
3472366470908b7d, 2, 1
4f48b567fa750fbc, 1, 1
969df50bc02d449d, 2, 1
8b995e273eeed648, 3, 1
a30d6662e3b3eb7f, 1, 1
80ee9daa4358c5eb, 3, 1
b5d69006f8bf4310, 2, 1
6f3712a7aa1ce86d, 1, 1
ea8206d3c150ae4f, 3, 1
2e62bb1fc59fe0d7, 1, 1
b743da49d5e45ecc, 3, 1
ec93636c39bdd90, 2, 1
5f5a705ab3342ca5, 3, 1
48216c9089080308, 1, 1
c7ec421de5ce0ff9, 3, 1
c58ad8e9cbed54ba, 2, 1
43126c36f69afacc, 3, 1
8542b5841c28ed5e, 2, 1
740bdeb58d362950, 1, 1
1269432208a3f190, 2, 1
7389532c40ed8ee6, 3, 1
82076172169909e1, 3, 1
6bfc98565da78522, 2, 1
77371ba4f470c3ab, 3, 1
c2b7099d74eebe55, 2, 1
7ad4237f291e48a9, 3, 1
5d4ee8ed7739fbac, 3, 1
a7a045f527cc9b5d, 3, 1
434cfeacc9ee9a39, 3, 1
9c0ef50bb4852625, 2, 1
acdd7d8a37289da7, 1, 1
c136421d4dad6bfe, 3, 1
c88a0cee8bbe3829, 1, 1
6a071f5e953af1df, 2, 1
c8ea6adf2a0f127a, 3, 1
