posting_hash , posting_string, ngram_size, doc_count
73eaa509fd1e6252, kamikaze, 1, 1
b5e7d1d1e5c46553, bullfighter, 1, 1
4135b1599d0d035a, 6203908, 1, 1
54ff30c49426c5eb, pbr, 1, 1
22a90e97a46f8c49, wrangler, 1, 1
65bae27586d5108, sammy, 1, 1
5a2fc14fbaa2e249, jagermeister's, 1, 1
3163401453b31a23, bullfighters, 1, 1
bfc08afa35fd2d2a, bullfighting, 1, 1
a9f829b87c88ee87, dylan, 1, 1
953292d099d9677b, paralyze, 1, 1
52f0a44371b648b5, gored, 1, 1
4e64c70e74de0785, bull's, 1, 1
9a98fb6a772ef86b, Lingle, 1, 1
c15d961f7a4065d6, 6203906, 1, 1
206763591d0cf61a, lingle, 1, 1
765b137bbf4e41ce, gascon, 1, 1
1dfd2d94e00ae2a, baptiste, 1, 1
63c582d298eedf0d, bravest, 1, 1
612123dcdba7127c, horseman, 1, 1
47c025863999a152, comedic, 1, 1
833b27a290901d25, satisfaction, 1, 1
88fb2de4614fcd8b, conflans, 1, 1
4082a92b5b71aaa7, undercuts, 1, 1
9c8a9a616a201d9d, satirise, 1, 1
ceb85ca2449e967d, baffled, 1, 1
a2a09c564c317f94, etienne, 1, 1
f4f4f161db82f038, 1780s, 1, 1
d9c2b6d641b6b8e6, Brigadier Gerard, 1, 1
857e2eead95f50e2, saragossa, 1, 1
cc80867905ce8bc2, strand, 1, 1
e5b2e9340165df37, crimea, 1, 1
dfe2e58e0581680b, chamberan, 1, 1
8ee171725d935a87, portugal, 1, 1
1864a1baa886a8d0, légion, 1, 1
999410199f8d24ba, gascony, 1, 1
71747ec597d4ecb3, enthusiasts, 1, 1
43108e2a94fb3eca, stirring, 1, 1
49a455159d1bfb7b, étienne, 1, 1
d645b3c9748a4d84, echo, 1, 1
9956d6cbe10db2da, hb, 1, 1
98d4d1d95173420e, gervais, 1, 1
70327e2ab77f000d, precursor, 1, 1
35bae41178c1abe1, skolimowski, 1, 1
1f547c44d824c1f1, penguin, 1, 1
5a09e0f877d7ce4, grizáta, 1, 1
1b6dad284e96c3d6, karavomylos, 1, 1
38e654c3fb952f8c, 129.326, 1, 1
63e5e98e9ee7a820, sámi, 1, 1
57d4e1e3ffde80a5, sami, 1, 1
1a23ab18c4448f24, digaleto, 1, 1
78c588339a6889ec, pylaros, 1, 1
c35aa5bea1f6631f, excavated, 1, 1
d7f3106d4b74c999, footpath, 1, 1
70345c5bccab587b, 6203890, 1, 1
dc8aaa3a4b7a83a2, reclaimed, 1, 1
1b465a5d076da27, overlooking, 1, 1
c1a9028b84486157, barrow, 1, 1
4ba985928383f4f7, coaley, 1, 1
85d190bc29c6470f, trust's, 1, 1
80e44632aeb3e94f, frocester, 1, 1
96048b534d85f8e3, neolithic, 1, 1
1216ab13a4717a65, evicted, 1, 1
5900bb843002dda6, Jonesboro Independent School District, 1, 1
694f61cc63683e5a, 6203889, 1, 1
b69e58ae06b7275, dossey, 1, 1
98a597f5502f36c5, bosque, 1, 1
882334ba5240e522, jonesboro, 1, 1
6fe1ed266fcc90f8, Z/Journal, 1, 1
bd5d9d2350449d9b, db2, 1, 1
68b0dc8e93b18c6, minneola, 1, 1
2909c53b9cc115bc, websphere, 1, 1
b6260076d7c0d4da, mq, 1, 1
d6c7943318d4cb6a, 6203871, 1, 1
a1122ec0a9ec869d, jediduell.jpg, 1, 1
94792bcd0705b60a, file:naaw, 1, 1
9cd70a655f036f44, outcast, 1, 1
783d62d0e63ca14d, sourceforge.net, 1, 1
a5786491f8cc34f7, 6203868, 1, 1
f773f1bf357ba64d, category:frank, 1, 1
93491c7e15b2d2db, zappa, 1, 1
45c209d42491d666, File:VMFA-314 1.jpg, 1, 1
b412923dc89e5094, 6203865, 1, 1
9cd16a75a384a6c0, g2_view, 1, 1
196d92b21b9ac88a, core.showitem, 1, 1
807d20f563f7de25, g2_navid, 1, 1
59e5576e712a9a01, emails, 1, 1
bb38bc9fbba6202a, Wikipedia:Articles for deletion/Church of Jesus Christ in Zion (Scientology), 1, 1
c97c824f25d38fc4, scientology, 1, 1
f56d0b04cbc0795e, gabriel, 1, 1
146bedfc6aed93b0, poltava, 1, 1
d7c71029b2d65619, 6203860, 1, 1
4a3220f685a429a6, Johann Jacob Bach, 1, 1
cb14ae3f5e161e85, oboe, 1, 1
3910e776a311350a, bach, 1, 1
81c28c4d8120f61e, ohrdruf, 1, 1
3743e1cade8e3c7f, oboist, 1, 1
21ae7a47fe727305, ambrosius, 1, 1
f93109b589f1358d, capelle, 1, 1
cb84cb8ea5faf540, 1709, 1, 1
cac44f1cf12db9ea, flutist, 1, 1
88ea5521001f283f, 6203853, 1, 1
53c576b2cae461ae, Jacksboro Independent School District, 1, 1
1bb32a3e89b53741, 6203851, 1, 1
fdf5044f80dc7b9e, cluedo, 1, 1
8d3bd0a12e8a036a, tokens, 1, 1
b285b47969405f41, ashe, 1, 1
bd21b6516923d0af, Cluedo SFX, 1, 1
a0963f52c59ec500, envelopes, 1, 1
800c020f6ce53813, vastly, 1, 1
ea51cd8a5a702613, fx, 1, 1
9da1fb031a7eeaf8, accusation, 1, 1
f7cb1833efc6f19e, handsome, 1, 1
f94959da82245b6f, hildburghausen, 1, 1
b5106b4e1669fe21, assent, 1, 1
a8772d1a94aa3a1e, xiv, 1, 1
a2c2452da1d0fa0f, repayment, 1, 1
e69887aa8398be43, duchies, 1, 1
beef95312f0a12dc, devastated, 1, 1
eb79fc7bc82b03ad, erbach, 1, 1
f74e6690a33593, file:mystic10, 1, 1
c5044b612eab7d7c, inks, 1, 1
e9d5eab1e2cb165a, www.comics.org, 1, 1
f3a42da7d8d59d06, advocated, 1, 1
97dbc8cf4b84060d, ayn, 1, 1
381c9e3b5ae6e538, vn, 1, 1
680181ec2bc0ee4e, sahel, 1, 1
88d8a2f7fa1c6b96, hassan, 1, 1
bd834578908ace93, avn, 1, 1
76e5e4bfcd375699, cameroon, 1, 1
e5b03448a11f0cdf, riche, 1, 1
e60797e1bcb62483, 6203834, 1, 1
d6b0458d753263a3, www.arvindguptatoys.com, 1, 1
bb8f9c6683e4adcb, sudanese, 1, 1
3146c9ea1fe49872, roofing, 1, 1
238cbcff4d4e9655, codifying, 1, 1
3c55341a48c693a2, gable, 1, 1
48da5786ba2ce945, mosques, 1, 1
950f5ddd39fcd2a, luxor, 1, 1
dab6bd77b7b8d3fa, gourna, 1, 1
d603d05b8fc62b4b, voûte, 1, 1
32f371a137747175, simplifying, 1, 1
f096e3e4f28a5222, faso, 1, 1
4151bbf674b895b8, beams, 1, 1
4ad85d9d8e6fc3cf, 2,545, 1, 1
1f19012f29e7c7b9, beakers, 1, 1
894fb75c6b08b996, parish's, 1, 1
fc1e7c9d15320a42, erdington, 1, 1
3cae9b2fd2876945, 1226, 1, 1
